#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662925793360432640,2.3295,0.00359472,1.08516,0.331632,-0.61491,-0.554336,0.452347,0.000258937,5.07643e-05,0.000192929,-0.00112136,0.00155547,-0.00228206,0.0864546,0.0857494,-0.0025561
1662925793370432512,2.3295,0.00359571,1.08517,0.331634,-0.614919,-0.554328,0.452342,0.000613598,0.000204715,0.000455653,-0.00112136,0.00155547,-0.00228206,0.0864545,0.0857494,-0.0025561
1662925793380432640,2.32951,0.00359819,1.08517,0.331649,-0.614923,-0.554325,0.45233,0.00107869,0.000197878,0.000549779,-0.00112136,0.00155547,-0.00228206,0.0864545,0.0857494,-0.00255613
1662925793390432512,2.32952,0.00360003,1.08518,0.331667,-0.614922,-0.554315,0.45233,0.00131131,0.000245729,0.00097309,-0.00112136,0.00155547,-0.00228206,0.0864544,0.0857495,-0.0025562
1662925793400432640,2.32953,0.00360166,1.08519,0.331696,-0.614914,-0.554306,0.452332,0.00140744,6.34254e-05,0.000787227,-0.00112136,0.00155548,-0.00228206,0.0864546,0.0857497,-0.00255623
1662925793410432512,2.32955,0.00360158,1.0852,0.331731,-0.614898,-0.554294,0.452342,0.00137098,-6.36636e-05,0.000856621,-0.00112136,0.00155548,-0.00228206,0.0864553,0.0857499,-0.00255623
1662925793420432640,2.32956,0.00360046,1.0852,0.331764,-0.614889,-0.554283,0.452344,0.00147217,-0.000103007,0.00103774,-0.00112137,0.00155548,-0.00228206,0.0864562,0.0857505,-0.00255627
1662925793430432512,2.32958,0.00359952,1.08522,0.331809,-0.614884,-0.554271,0.452332,0.00144707,-0.000165701,0.000915141,-0.00112137,0.00155548,-0.00228206,0.0864574,0.0857515,-0.00255647
1662925793440432640,2.32959,0.00359704,1.08522,0.331859,-0.614876,-0.554246,0.452337,0.00102325,-0.000240452,0.000757786,-0.00112137,0.00155549,-0.00228206,0.0864588,0.085753,-0.00255691
1662925793450432512,2.3296,0.00359424,1.08523,0.331905,-0.614866,-0.554232,0.452334,0.000677395,-0.000334396,0.000269449,-0.00112137,0.00155549,-0.00228207,0.0864607,0.0857552,-0.00255751
1662925793460432640,2.3296,0.00359054,1.08523,0.331932,-0.61486,-0.554226,0.452329,-1.02256e-05,-0.00037099,0.000397179,-0.00112137,0.0015555,-0.00228207,0.0864633,0.0857579,-0.00255811
1662925793470432512,2.3296,0.00358622,1.08523,0.331954,-0.614861,-0.554224,0.452315,-0.000338139,-0.000465621,0.000228172,-0.00112137,0.00155551,-0.00228207,0.0864665,0.0857613,-0.0025586
